name,team_name,weight,height_inches,birth_date,birth_place,teams,player_id,total_games,games_started,minutes_played,fg3,fg2,fg,fg3a,fg2a,fg3p,fg2p,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts
Klay Thompson,Retired,215.0,78.0,1990-02-08,"Los Angeles, California",[10],4223,76.875,72.25,2542.5,9.487499999999999,9.625,7.987500000000001,7.5375,9.85,0.419,0.48875,2.075,2.4375,0.84525,0.4875,3.2875,3.775,2.55,1.0,0.5875,1.8875,21.225
LaSalle Thompson,Retired,245.0,82.0,1961-06-23,"Cincinnati, Ohio","[12, 23, 8]",4224,65.66666666666667,34.4,1415.8666666666666,0.02,9.346666666666668,4.680000000000001,0.03333333333333333,9.979999999999999,0.05333333333333334,0.45226666666666665,2.246666666666667,3.1333333333333333,0.7335999999999999,3.36,7.366666666666666,10.74,1.7666666666666666,1.24,1.5266666666666666,2.7266666666666666,11.633333333333333
Mychal Thompson,Retired,226.0,82.0,1955-01-30,"Nassau, Bahamas","[25, 14, 27]",4225,78.36363636363636,44.81818181818182,2329.090909090909,0.0,12.818181818181818,6.409090909090909,0.018181818181818184,12.718181818181819,0.045454545454545456,0.5063636363636363,3.1545454545454548,4.718181818181818,0.6674545454545455,2.8636363636363638,5.918181818181818,8.781818181818181,2.4727272727272727,0.881818181818182,1.2909090909090908,2.5363636363636366,16.0
Mychel Thompson,Retired,211.0,78.0,1988-06-01,"Los Angeles, California",[],4226,5.0,3.0,95.0,4.5,2.2,2.7,4.2,4.9,0.364,0.231,0.0,0.0,0.0,0.0,1.9,1.9,2.7,0.8,0.4,1.9,6.8
Paul Thompson,Retired,210.0,78.0,1961-05-25,"Smyrna, Tennessee","[6, 23, 17]",4227,51.333333333333336,15.0,1035.0,0.6000000000000001,12.6,6.466666666666666,0.9666666666666668,14.866666666666665,0.19933333333333336,0.42766666666666664,2.6999999999999997,3.3333333333333335,0.8083333333333332,2.3333333333333335,3.6333333333333333,5.8999999999999995,2.5,1.5999999999999999,1.0666666666666667,2.066666666666667,15.866666666666667
Stephen Thompson,Retired,185.0,76.0,1968-12-02,"Los Angeles, California","[26, 22]",4228,19.0,0.0,91.0,0.0,11.0,5.5,0.4,14.2,0.0,0.389,1.2,3.2,0.375,4.4,3.2,7.5,3.2,2.4,1.2,2.0,12.3
Tristan Thompson,Cleveland Cavaliers,238.0,81.0,1991-03-13,"Toronto, Canada",[6],4229,68.0,47.333333333333336,1909.111111111111,0.06666666666666667,9.755555555555555,4.888888888888889,0.04444444444444444,9.422222222222222,0.05555555555555555,0.528,2.3,3.8000000000000003,0.6036666666666667,4.466666666666667,6.855555555555555,11.31111111111111,1.3444444444444443,0.6666666666666666,0.9222222222222223,1.5333333333333334,12.122222222222222
Al Thornton,Retired,220.0,80.0,1983-12-07,"Perry, Georgia","[13, 30, 10]",4232,74.0,41.75,2068.5,0.9749999999999999,11.100000000000001,5.85,1.125,11.825,0.27325,0.471,3.075,4.1,0.74925,1.7,3.7,5.4,1.55,0.8250000000000001,0.6,1.85,15.125
Bob Thornton,Retired,225.0,82.0,1962-07-10,"Los Angeles, California","[23, 20, 18, 29]",4233,35.375,3.75,423.25,0.07500000000000001,6.525,3.275,0.07500000000000001,11.5375,0.08325,0.35975,3.2625,4.475,0.64275,4.1375,4.4,8.5125,0.7,0.625,0.38749999999999996,1.9375,9.825
Marcus Thornton,Retired,205.0,76.0,1987-06-05,"Baton Rouge, Louisiana","[26, 19, 11, 30, 2, 24]",4235,60.375,16.875,1412.375,7.125,8.649999999999999,6.6625,6.5625,9.3,0.3585,0.462,2.3375,2.8,0.834125,1.275,3.0625,4.375,2.2,1.2875,0.1875,1.5625,18.0
Sindarius Thornwell,Retired,215.0,77.0,1994-11-15,"Lancaster, South Carolina",[],4236,68.5,9.0,734.5,1.5,4.0,2.55,1.7999999999999998,4.65,0.2885,0.43,2.35,3.3,0.7025,0.8,3.9,4.75,2.1,1.55,0.8,2.0,7.95
Otis Thorpe,Retired,225.0,81.0,1962-08-05,"Boynton Beach, Florida","[11, 9, 16, 30, 25]",4237,73.94117647058823,58.1764705882353,2342.470588235294,0.0,12.105882352941178,6.052941176470589,0.047058823529411764,11.076470588235296,0.025235294117647057,0.5437647058823529,3.2058823529411766,4.694117647058824,0.6821764705882353,3.0647058823529414,6.135294117647058,9.194117647058825,2.3529411764705883,0.7823529411764706,0.44705882352941173,2.4941176470588236,15.288235294117646
Sedale Threatt,Retired,175.0,74.0,1961-09-10,"Atlanta, Georgia","[14, 23, 5, 11]",4238,67.92857142857143,21.714285714285715,1602.5714285714287,1.0285714285714287,11.371428571428572,6.021428571428571,1.1357142857142857,11.507142857142856,0.2467857142857143,0.48864285714285716,1.9857142857142858,2.442857142857143,0.8052857142857143,0.6357142857142858,2.107142857142857,2.757142857142857,5.492857142857143,1.7785714285714285,0.22142857142857145,2.0785714285714287,14.364285714285714
Matisse Thybulle,Philadelphia 76ers,200.0,77.0,1997-03-04,"Scottsdale, Arizona",[23],4241,48.0,10.0,970.0,5.1,2.4,3.0,4.7,2.6,0.37,0.465,0.9,1.4,0.649,0.9,1.8,2.7,2.1,2.6,1.5,1.5,8.6
Darren Tillis,Retired,215.0,83.0,1960-02-23,"Dallas, Texas","[10, 6, 2]",4244,62.0,2.5,628.0,0.0,10.5,5.25,0.1,12.350000000000001,0.0,0.4255,1.55,2.5,0.611,3.25,5.75,9.0,1.2,0.55,2.55,2.0,12.1
Jamaal Tinsley,Retired,195.0,75.0,1978-02-28,"Brooklyn, New York","[12, 29, 15]",4247,49.72727272727273,36.72727272727273,1313.0,2.727272727272727,6.236363636363635,4.036363636363636,3.436363636363637,7.090909090909091,0.26481818181818184,0.4534545454545454,1.5727272727272728,2.1818181818181817,0.6583636363636364,0.7727272727272727,3.1181818181818177,3.9,8.045454545454545,1.7727272727272727,0.34545454545454546,3.4181818181818184,10.563636363636364
Wayman Tisdale,Retired,240.0,81.0,1964-06-09,"Tulsa, Oklahoma","[26, 12, 24]",4248,70.0,44.5,1989.0,0.0,16.083333333333332,8.041666666666666,0.016666666666666666,16.133333333333333,0.0,0.49899999999999994,3.2583333333333333,4.283333333333333,0.75175,2.3583333333333334,5.175,7.566666666666666,1.6083333333333334,0.6749999999999999,0.7833333333333333,2.1083333333333334,19.308333333333334
Mike Tobey,Retired,260.0,84.0,1994-10-10,"Monroe, New York",[],4249,2.0,0.0,25.0,0.0,2.8,1.4,0.0,5.8,0.0,0.25,0.0,0.0,0.0,2.9,1.4,4.3,1.4,0.0,0.0,1.4,2.9
Ray Tolbert,Retired,225.0,81.0,1958-09-10,"Anderson, Indiana","[9, 1, 14, 3, 20]",4251,52.2,0.4,557.8,0.0,10.0,5.0,0.06000000000000001,10.120000000000001,0.0,0.49420000000000003,1.9,3.38,0.5628,3.04,4.88,7.94,1.7399999999999998,0.9800000000000001,1.2,2.8,11.92
