circuitId,circuitName,long,lat,locality,country,round_number,year,gp_name,circuit_code
yas_marina,Yas Marina Circuit,54.6031,24.4672,Abu Dhabi,UAE,22,2022,Abu Dhabi Grand Prix,yas_marina
bahrain,Bahrain International Circuit,50.5106,26.0325,Sakhir,Bahrain,1,2023,Bahrain Grand Prix,bahrain
jeddah,Jeddah Corniche Circuit,39.1044,21.6319,Jeddah,Saudi Arabia,2,2023,Saudi Arabian Grand Prix,jeddah
albert_park,Albert Park Grand Prix Circuit,144.968,-37.8497,Melbourne,Australia,3,2023,Australian Grand Prix,albert_park
baku,Baku City Circuit,49.8533,40.3725,Baku,Azerbaijan,4,2023,Azerbaijan Grand Prix,baku
miami,Miami International Autodrome,-80.2389,25.9581,Miami,USA,5,2023,Miami Grand Prix,miami
monaco,Circuit de Monaco,7.42056,43.7347,Monte-Carlo,Monaco,6,2023,Monaco Grand Prix,monaco
catalunya,Circuit de Barcelona-Catalunya,2.26111,41.57,Montmeló,Spain,7,2023,Spanish Grand Prix,catalunya
villeneuve,Circuit Gilles Villeneuve,-73.5228,45.5,Montreal,Canada,8,2023,Canadian Grand Prix,villeneuve
red_bull_ring,Red Bull Ring,14.7647,47.2197,Spielberg,Austria,9,2023,Austrian Grand Prix,red_bull_ring
silverstone,Silverstone Circuit,-1.01694,52.0786,Silverstone,UK,10,2023,British Grand Prix,silverstone
hungaroring,Hungaroring,19.2486,47.5789,Budapest,Hungary,11,2023,Hungarian Grand Prix,hungaroring
spa,Circuit de Spa-Francorchamps,5.97139,50.4372,Spa,Belgium,12,2023,Belgian Grand Prix,spa
zandvoort,Circuit Park Zandvoort,4.54092,52.3888,Zandvoort,Netherlands,13,2023,Dutch Grand Prix,zandvoort
monza,Autodromo Nazionale di Monza,9.28111,45.6156,Monza,Italy,14,2023,Italian Grand Prix,monza
marina_bay,Marina Bay Street Circuit,103.864,1.2914,Marina Bay,Singapore,15,2023,Singapore Grand Prix,marina_bay
suzuka,Suzuka Circuit,136.541,34.8431,Suzuka,Japan,16,2023,Japanese Grand Prix,suzuka
losail,Losail International Circuit,51.4542,25.49,Al Daayen,Qatar,17,2023,Qatar Grand Prix,losail
americas,Circuit of the Americas,-97.6411,30.1328,Austin,USA,18,2023,United States Grand Prix,americas
rodriguez,Autódromo Hermanos Rodríguez,-99.0907,19.4042,Mexico City,Mexico,19,2023,Mexico City Grand Prix,rodriguez
interlagos,Autódromo José Carlos Pace,-46.6997,-23.7036,São Paulo,Brazil,20,2023,São Paulo Grand Prix,interlagos
vegas,Las Vegas Strip Street Circuit,-115.173,36.1147,Las Vegas,United States,21,2023,Las Vegas Grand Prix,vegas
yas_marina,Yas Marina Circuit,54.6031,24.4672,Abu Dhabi,UAE,22,2023,Abu Dhabi Grand Prix,yas_marina
bahrain,Bahrain International Circuit,50.5106,26.0325,Sakhir,Bahrain,1,2024,Bahrain Grand Prix,bahrain
jeddah,Jeddah Corniche Circuit,39.1044,21.6319,Jeddah,Saudi Arabia,2,2024,Saudi Arabian Grand Prix,jeddah
albert_park,Albert Park Grand Prix Circuit,144.968,-37.8497,Melbourne,Australia,3,2024,Australian Grand Prix,albert_park
suzuka,Suzuka Circuit,136.541,34.8431,Suzuka,Japan,4,2024,Japanese Grand Prix,suzuka
shanghai,Shanghai International Circuit,121.22,31.3389,Shanghai,China,5,2024,Chinese Grand Prix,shanghai
miami,Miami International Autodrome,-80.2389,25.9581,Miami,USA,6,2024,Miami Grand Prix,miami
imola,Autodromo Enzo e Dino Ferrari,11.7167,44.3439,Imola,Italy,7,2024,Emilia Romagna Grand Prix,imola
monaco,Circuit de Monaco,7.42056,43.7347,Monte-Carlo,Monaco,8,2024,Monaco Grand Prix,monaco
